mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	unitSet
teb_pirazzo_xbows	teb_pirazzo_xbows	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	60	0	0	false	teb_crossbow	22	jar_unit_set_infantry
teb_marksmen	teb_marksmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_crossbow_marksmen	22	jar_unit_set_infantry
teb_besiegers	teb_besiegers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_crossbow	45	jar_unit_set_infantry
teb_manflayers	teb_manflayers	melee_infantry	inf_melee	inf_mel	wh2_main_def_missile_infantry_bow_shades_great_weapons	missile_infantry	80	0	0	false	teb_manflayers	18	jar_unit_set_infantry
teb_bronzino	teb_bronzino	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	16	4	0	false		22	jar_unit_set_artillery_war_machines
teb_birdmen	teb_birdmen	missile_infantry	inf_ranged	inf_mis	flying_missile_infantry	missile_infantry	32	0	0	false	teb_crossbow_birdmen	22	jar_unit_set_infantry
teb_roc_estragon	teb_roc_estragon	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	100	0	0	false	teb_pistol_estragon	15	jar_unit_set_infantry
teb_roc_verena	teb_roc_verena	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_bow_militia_verena	24	jar_unit_set_infantry
teb_roc_strygos	teb_roc_strygos	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	90	0	0	false	teb_handgunners_strigany	22	jar_unit_set_infantry
teb_roc_organ	teb_roc_organ	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	60	4	0	false		96	jar_unit_set_artillery_war_machines
teb_roc_montecastello	teb_roc_montecastello	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	60	0	60	false	teb_roc_montecastello	18	jar_unit_set_cavalry_chariots
teb_tank_ror	teb_tank_ror	chariot	war_machine	chariot	emp_steam_tank	artillery_war_machines	9	1	0	true	teb_tank_ror	200	jar_unit_set_artillery_war_machines
teb_paymaster	teb_paymaster	chariot	war_machine	chariot	teb_paymaster	missile_cavalry_chariots	6	1	2	true	teb_paymaster_wagon	240	jar_unit_set_single_entities
teb_pavisiers	teb_pavisiers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_crossbow	24	jar_unit_set_infantry
teb_sartosan_pirates	teb_sartosan_pirates	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	100	0	0	false	teb_pistol_pirates	24	jar_unit_set_infantry
teb_carabiniers	teb_carabiniers	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	60	0	60	false	wh_main_emp_rifle	20	jar_unit_set_cavalry_chariots
teb_light_cannon	teb_light_cannon	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	44	4	0	false		22	jar_unit_set_artillery_war_machines
teb_conqui_royal_guard	teb_conqui_royal_guard	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	90	0	0	false	teb_royal_guard	22	jar_unit_set_infantry
teb_conqui_riders	teb_conqui_riders	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	60	0	60	false	wh2_dlc13_emp_pistol_noble_sons	24	jar_unit_set_cavalry_chariots
teb_enforcers	teb_enforcers	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	60	0	60	false	teb_enforcers	20	jar_unit_set_cavalry_chariots
teb_militia_archers	teb_militia_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_bow_militia	24	jar_unit_set_infantry
teb_border_rangers	teb_border_rangers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_bow_rangers	22	jar_unit_set_infantry
teb_swash	teb_swash	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	100	0	0	false	teb_pistol_swash	15	jar_unit_set_infantry
teb_xbow_cav	teb_xbow_cav	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	60	0	60	false	teb_crossbow_cav	20	jar_unit_set_cavalry_chariots
teb_irrana	teb_irrana	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_javelin	missile_infantry	120	0	0	false	teb_irrana	5	jar_unit_set_infantry
teb_guard_kossars	teb_guard_kossars	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_axe_infantry	missile_infantry	100	0	0	false	teb_bow_rangers	22	jar_unit_set_infantry
teb_xbowmen	teb_xbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	teb_crossbow	22	jar_unit_set_infantry
teb_handgunners	teb_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	90	0	0	false	teb_handgunners	22	jar_unit_set_infantry
teb_galloper	teb_galloper	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	16	4	0	false		22	jar_unit_set_artillery_war_machines
teb_tank	teb_tank	chariot	war_machine	chariot	emp_steam_tank	artillery_war_machines	9	1	0	true	teb_tank	200	jar_unit_set_artillery_war_machines
