mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	unitSet
dwf_kou_dreadnaught	dwf_kou_dreadnaught	chariot	war_machine	chariot	dwf_kou_dreadnaught	artillery_war_machines	1	1	0	true	dwf_kou_dreadnaught	40	jar_unit_set_artillery_war_machines
deco_ironsides	deco_ironsides	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	60	0	0	false	deco_ironside_rifle	132	jar_unit_set_infantry
deco_chd_naphtha	deco_chd_naphtha	missile_infantry	inf_melee	inf_mel	wh2_dlc11_cst_explosives_infantry	missile_infantry	80	0	0	false	deco_chd_naptha_bombs	8	jar_unit_set_infantry
deco_chd_quarrellers	deco_chd_quarrellers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	80	0	0	false	wh_main_dwf_crossbow	22	jar_unit_set_infantry
deco_chd_annihilators	deco_chd_annihilators	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes_torpedo	missile_infantry	28	0	0	false	deco_chd_annihilators	18	jar_unit_set_infantry
deco_chd_gnoblar_slaves	deco_chd_gnoblar_slaves	missile_infantry	inf_melee	inf_mel	wh2_main_missile_infantry_sling	missile_infantry	160	0	0	false	deco_chd_gnoblar_missile	10	jar_unit_set_infantry
deco_nor_reavers	deco_nor_reavers	missile_infantry	inf_ranged	inf_mis	infantry_axe_throwing	missile_infantry	90	0	0	false	deco_nor_reavers_throw	8	jar_unit_set_infantry
deco_nor_bondsmen	deco_nor_bondsmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	90	0	0	false	wh_main_brt_longbow	22	jar_unit_set_infantry
deco_skywardens	deco_skywardens	missile_cavalry	cavalry	cav_mis	wh_dlc05_wef_hawk_riders	missile_cavalry_chariots	24	0	24	false	deco_skywardens_bow	18	jar_unit_set_cavalry_chariots
deco_meadow_chariots	deco_meadow_chariots	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	12	4	2	false	deco_meadow_chariots	150	jar_unit_set_cavalry_chariots
dec_hunters_anath_raema	dec_hunters_anath_raema	missile_infantry	inf_ranged	inf_mis	wh2_main_hef_missile_infantry_bow_spear	missile_infantry	90	0	0	false	dec_hunters_anath_raema	20	jar_unit_set_infantry
deco_forest_goblin_archers	deco_forest_goblin_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	120	0	0	false	wh_main_grn_goblin_bow_poison	24	jar_unit_set_infantry
deco_bugman_thrower	deco_bugman_thrower	warmachine	artillery	art_fld	catapult	artillery_war_machines	32	4	0	false		22	jar_unit_set_artillery_war_machines
deco_irondrakes_drakefire	deco_irondrakes_drakefire	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	28	0	0	false	deco_irondrakes_missile	22	jar_unit_set_infantry
deco_prospectors	deco_prospectors	melee_infantry	inf_melee	inf_mel	infantry_pickaxe	infantry	28	0	0	false	deco_prospectors_charges	2	jar_unit_set_infantry
