mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
galed_elf_archers	galed_elf_archers	missile_infantry	inf_ranged	inf_mis	galed_elf_archers	missile_infantry	true	90	0	0	false	wh_dlc05_wef_scout_bow	22	archer	jar_unit_set_infantry
galed_elf_archers_upgrade	galed_elf_archers	missile_infantry	inf_ranged	inf_mis	galed_elf_archers	missile_infantry	true	90	0	0	false	wh_dlc05_wef_scout_bow	22	archer	jar_unit_set_infantry
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry	inf_ranged	inf_mis	grudgebringer_crossbow	missile_infantry	true	90	0	0	false	wh_dlc06_dwf_crossow_bolt_bugmans_rangers	22	archer	jar_unit_set_infantry
grudgebringer_crossbow_upgrade	grudgebringer_crossbow	missile_infantry	inf_ranged	inf_mis	grudgebringer_crossbow	missile_infantry	true	90	0	0	false	wh_dlc06_dwf_crossow_bolt_bugmans_rangers	22	archer	jar_unit_set_infantry
helmgart_bowmen	helmgart_bowmen	missile_infantry	inf_ranged	inf_mis	helmgart_bowmen	missile_infantry	true	90	0	0	false	wh2_main_hef_longbow_arrow	22	archer	jar_unit_set_infantry
keelers_longbows	keelers_longbows	missile_infantry	inf_ranged	inf_mis	keelers_longbows	missile_infantry	true	90	0	0	false	wh2_main_hef_longbow_arrow	24	archer	jar_unit_set_infantry
grudgebringer_cannon	grudgebringer_cannon	warmachine	artillery	art_fld	grudgebringer_cannon	artillery_war_machines	true	44	4	0	false		26	artillery	jar_unit_set_artillery_war_machines
uter_blomkwist_imperial_mortar	uter_blomkwist_imperial_mortar	warmachine	artillery	art_fld	uter_blomkwist_imperial_mortar	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
stephan_weiss_outlaw_pistoliers	stephan_weiss_outlaw_pistoliers	missile_cavalry	cavalry	cav_mis	stephan_weiss_outlaw_pistoliers	cavalry_chariots	true	60	0	60	false	outlaw_pistoliers	24	skirmish	jar_unit_set_cavalry_chariots
imperial_cannon_darius_flugenheim	imperial_cannon_darius_flugenheim	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
grudgebringers_wagon	grudgebringers_wagon	chariot	war_machine	chariot	grudgebringers_wagon	missile_cavalry_chariots	true	24	4	2	false	grudgebringers_wagon	240	archer	jar_unit_set_cavalry_chariots
wh_main_emp_inf_crossbowmen_ovn_gru	wh_main_emp_inf_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	jar_unit_set_infantry
wh2_dlc13_emp_inf_archers_0_ovn_gru	wh2_dlc13_emp_inf_archers_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_archers	20	archer	jar_unit_set_infantry
wh_main_emp_inf_handgunners_ovn_gru	wh_main_emp_inf_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22	archer	jar_unit_set_infantry
wh_dlc04_emp_inf_free_company_militia_0_ovn_gru	wh_dlc04_emp_inf_free_company_militia_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	wh_dlc04_emp_free_company_pistol	18	archer	jar_unit_set_infantry
wh_main_emp_cav_pistoliers_1_ovn_gru	wh_main_emp_cav_pistoliers_1	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh_main_emp_pistol	24	skirmish	jar_unit_set_cavalry_chariots
wh3_main_ogr_inf_maneaters_3_ovn_gru	wh3_main_ogr_inf_maneaters_3	monstrous_infantry	inf_ranged	inf_mis	wh3_main_ogr_monstrous_pistol	missile_infantry	true	16	0	0	false	wh3_ogr_pistol_bullet	20	archer	jar_unit_set_monstrous
wh_main_emp_art_mortar_ovn_gru	wh_main_emp_art_mortar	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
wh_main_emp_art_great_cannon_ovn_gru	wh_main_emp_art_great_cannon	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
leitdorf_9th_crossbows	leitdorf_9th_crossbows	missile_infantry	inf_ranged	inf_mis	leitdorf_9th_crossbows	missile_infantry	true	113	0	0	false	leitdorf_9th_crossbows	22	archer	jar_unit_set_infantry
emperors_hellblaster_volley_gun	emperors_hellblaster_volley_gun	warmachine	artillery	art_fld	emperors_hellblaster_volley_gun	artillery_war_machines	true	44	4	0	false		198	artillery	jar_unit_set_artillery_war_machines
